pid,mji_cat,fav,label,primary_subject,secondary_subjects,link,link_2,desription,online_access,primary_lang,last_check,physical_loc,order,layout,collection,thumbnail,full
mji01,classical,,Marian Anderson Archive: The Artist on The World Stage,Classical,"Opera, Philadelphia",https://mariananderson.exhibits.library.upenn.edu/home,,"Philadelphia born contralto singer Marian Anderson is celebrated in The University of Pennsylvania's digitized collection of programs, diaries, interviews, photos, and recordings spanning her lifetime. The collection highlights Anderson’s history as a Black performer in Europe and America through the first half of the 20th century.
The Marian Anderson Collection is available to the public through UPenn’s Colenda Digital Repository.",Full,EN,"October, 2023","Philadelphia, PA",000,mji_item,music_history,/img/derivatives/simple/mji01/thumbnail.jpg,/img/derivatives/simple/mji01/fullwidth.jpg
mji02,classical,,The Opera Database,Classical,Opera,http://theoperadatabase.com/,,"The Opera Database is a comprehensive database of operas and arias and a repository for operatic information, including libretti, scores, translations, and synopses. Arias are catalogued and feature PDFs from Public Domain sources.",Full,EN,"October, 2023",,001,mji_item,music_history,/img/derivatives/simple/mji02/thumbnail.jpg,/img/derivatives/simple/mji02/fullwidth.jpg
mji03,classical,,SFCM Oral History Project,Classical,,https://sfcm.edu/discover/student-resources/library/archives/student-resources/library/archives/oral-history-project,,"The San Francisco Conservatory of Music’s Oral History Project has the goal of seeking out and collecting memories of historical significance to the Conservatory through recorded interviews with members of the Conservatory's community, which are then preserved, transcribed, and made available to the public. Among the narrators are former administrators, faculty members, trustees, alumni, and family of former Conservatory luminaries.",Full,EN,"October, 2023",,002,mji_item,music_history,/img/derivatives/simple/mji03/thumbnail.jpg,/img/derivatives/simple/mji03/fullwidth.jpg
mji04,classical,,Library of Congress Performing Arts Research Guides,Classical,"Jazz, Film Scoring",https://guides.loc.gov/performing-arts,,"Guides to Library of Congress holdings organized thematically under 12 primary subjects including American Popular Culture, African American Studies, Recorded Sound, Music and Performing Arts. The music-related guides are primarily focused on jazz, classical, African American music and film music.","Partial, Catalogue",EN,"October, 2023",Washington D.C.,003,mji_item,music_history,/img/derivatives/simple/mji04/thumbnail.jpg,/img/derivatives/simple/mji04/fullwidth.jpg
mji05,classical,,Yale’s Oral History of American Music,Classical,Jazz,https://guides.library.yale.edu/oham/collectionsguide/home,,"Founded in 1969, the Oral History of American Music (OHAM) at Yale is a collection of audio and video interviews with major figures in American classical and jazz music. Alongside the core collection of over 1,000 interviews with composers, performers, and other notable musicians, OHAM also has collections focused on an in-depth investigation of individual figures or moments in time. Some of these collections include an oral history of Aaron Copland, Steinway & Sons, Duke Ellington, and a collection of Zoom interviews with musicians during the COVID-19 pandemic.","Partial, Subscription",EN,"October, 2023","New Haven, CT",004,mji_item,music_history,/img/derivatives/simple/mji05/thumbnail.jpg,/img/derivatives/simple/mji05/fullwidth.jpg
mji06,classical,,DRAM,Recorded Music,"Experimental Electronic, Modern Classical, Folk, Jazz",http://www.dramonline.org/,,"DRAM is a not-for-profit resource providing educational communities with on-demand streaming access to CD-quality audio (192kbps Mp4), complete original liner notes and essays from independent record labels and sound archives. Continuing in the tradition of DRAM's sister company New World Records, the primary focus is the preservation and dissemination of important recordings that have been neglected by the commercial marketplace, recordings that may otherwise become lost or forgotten. The touchstone of the DRAM collection is the diverse catalogue of American music represented by the New World Records and CRI label(s), which merged in 2007. From folk to opera, Native American to jazz, 19th century classical to early rock, musical theater, contemporary, electronic and beyond, New World has served composers, artists, students and the general public since its inception in 1975 with a grant from the Rockefeller Foundation. The acquisition of CRI deepened its catalog of contemporary American composition and restored to circulation recordings that had, in some cases, been out of print for decades. DRAM also includes music from a growing number of recording labels and archives. More than 4,000 albums' worth of recordings from a distinctive set of 42 independent labels and archives are now available, with new content being continuously added.","Partial, Subscription",EN,"October, 2023",,005,mji_item,music_history,/img/derivatives/simple/mji06/thumbnail.jpg,/img/derivatives/simple/mji06/fullwidth.jpg
mji07,country_folk,,Country Music Hall of Fame,Country,"Bluegrass, Folk",https://digi.countrymusichalloffame.org/,,"Chartered in 1964, The Country Music Hall of Fame and Museum houses the largest collection of country music artifacts in the world. The museum has prioritized the digitization of fragile photos, audio on acetate discs, videos, show posters, and magazines. Also available in the digital collection are vast arrays of song manuscripts, fan letters, sheet music, radio broadcasts, and photos of notable clothing, instruments, and other objects belonging to country music icons. Notable magazines within the collection include Academy of Country & Western Music, Bluegrass Central, Country & Western Jamboree, Journal of Country Music, and more. The Country Music Hall of Fame is also home to over a thousand archived episodes of the Grand Ole Opry dating back to the 1940s.",Full,EN,"October, 2023","Nashville, TN",006,mji_item,music_history,/img/derivatives/simple/mji07/thumbnail.jpg,/img/derivatives/simple/mji07/fullwidth.jpg
mji08,country_folk,,Sam Kindrick Papers,Country,"Texas, Rock",https://www.thewittliffcollections.txstate.edu/research/a-z/Kindrick.html,,"The papers of reporter, photographer, and publisher, Sam Kindrick, span 1934-2018, and are arranged into three series: Photographs, Kindrick’s Personal Papers, and Action Magazine. The bulk of the collection relates to Action Magazine, a monthly newspaper Kindrick launched in 1975 and which was key in its documentation of the San Antonio and Texas redneck rock and country scene. Included are approximately 4,000 photographs from the publication, and a near-complete run of the paper. Kindrick’s personal papers also include copies of his column from the San Antonio Express News, 1968-1974.",Catalogue only,EN,"October, 2023","San Marcos, TX",007,mji_item,music_history,/img/derivatives/simple/mji08/thumbnail.jpg,/img/derivatives/simple/mji08/fullwidth.jpg
mji09,country_folk,,WSM Radio,Country,Nashville,https://wsmradio.com/archives/,,"Home to the world’s longest running radio program, the Grand Ole Opry, WSM Radio provides extensive archives of their more contemporary radio programming, interview series, and live performances. The WSM Archive also features special audio from the CMA Awards, MerleFest, CMA Festival, and tribute concerts.",Full,EN,"October, 2023",,008,mji_item,music_history,/img/derivatives/simple/mji09/thumbnail.jpg,/img/derivatives/simple/mji09/fullwidth.jpg
mji10,electronic_music,,Analogue Music Synthesizer Oral History Collection,Electronic Music,Synthesizers,https://sova.si.edu/record/NMAH.AC.0640,,"This collection consists of over 30 hours of 7"" open reel-to-reel master tapes, compact discs (DVDs), and transcripts for oral histories documenting the invention and development of the analogue music synthesizer. The Jerome and Dorothy Lemelson Center for the Study of Invention and Innovation, in cooperation with Trevor Pinch and Frank Trocco of Cornell University, conducted oral histories to document the pioneering engineers and musicians of the electronic music synthesizer from 1960 to 1970. Pinch and Trocco authored Analog Days: The Invention and Impact of the Moog Synthesizer by Harvard University Press in 2002. This book is based on the oral histories from the Analogue Music Synthesizer Oral History Project.",Catalogue only,EN,"October, 2023",Washington D.C.,009,mji_item,music_history,/img/derivatives/simple/mji10/thumbnail.jpg,/img/derivatives/simple/mji10/fullwidth.jpg
